Year|Artist|Title|Genre|Length|Lyrics
1985|Wham!|Careless Whisper|Pop|390|I feel so unsure As I take your hand and lead you to the dance floor As the music dies, something in your eyes Calls to mind a silver screen And all its sad good-byes I'm never gonna dance again Guilty feet have got no rhythm Though it's easy to pretend I know you're not a fool I should've known better than to cheat a friend And waste the chance that I'd been given So I'm never gonna dance again The way I danced with you, oh Time can never mend The careless whispers of a good friend To the heart and mind Ignorance is kind There's no comfort in the truth Pain is all you'll find I'm never gonna dance again Guilty feet have got no rhythm Though it's easy to pretend I know you're not a fool I should've known better than to cheat a friend (should've known better, yeah) And waste the chance that I'd been given So I'm never gonna dance again The way I danced with you, oh Never without your love Tonight the music seems so loud I wish that we could lose this crowd Maybe it's better this way We'd hurt each other with the things we'd want to say We could have been so good together We could have lived this dance forever But now, who's gonna dance with me? Please stay And I'm never gonna dance again Guilty feet have got no rhythm Though it's easy to pretend I know you're not a fool I should've known better than to cheat a friend And waste the chance that I'd been given So I'm never gonna dance again The way I danced with you, oh now that you're gone (Now that you're gone) was what I did so wrong, so wrong That you had to leave me alone?


1990|Wilson Phillips|Hold on|Pop|263|I know this pain (I know this pain) Why do you lock yourself up in these chains? (these chains) No one can change your life except for you Don't ever let anyone step all over you Just open your heart and your mind (mmm) Is it really fair to feel, this way inside? (woah) Some day somebody's gonna make you want to turn around and say goodbye Until then, baby, are you going to let 'em hold you down and make you cry? Don't you know? Don't you know, things can change Things'll go your way If you hold... on for one more day Can you hold... on for one more day? Things'll go your way… Hold on for one more day You could sustain (you could sustain) Or are you comfortable with the pain? You've got no one to blame for your unhappiness (no, baby) You got yourself into your own mess (oooh...) Lettin' your worries pass you by (lettin' your worries pass you by) Baby, don't you think it's worth your time To change your mind? (no, no) Some day somebody's gonna make you want to turn around and say goodbye Until then, baby, are you going to let 'em hold you down and make you cry? Don't you know? Don't you know, things can change Things'll go your way If you hold... on for one more day Can you hold... on for one more day? Things'll go your way (oh, things'll go your way) Hold on for one more day I know that there is pain, but you Hold on for one more day, and ya Break free from the chains… Yeah I know that there is pain, but you Hold for one more day, and ya Break free, break from the chains Some day somebody's gonna make you want to turn around and say goodbye (and say goodbye) Until then, baby, are you going to let 'em hold you down and make you cry? Don't you know? Don't you know, things can change (know) Things'll go your way If you hold... on for one more day, yeah Can you hold... on… Don't you know, things could change Things could go your way If you hold... on for one more day Can you hold... on Can you hold on Mmm, can you hold on, baby Won't you tell me know Hold on for one more day, cause It's gonna go your way Don't you know, things could change Things could go your way If you hold on for one more day, yeah Can't you change it this time Make up your mind Hold on, hold on Baby hold on 


1995|Coolio|Gangsta’s Paradise|Hip-Hop|244|Wake up in the morning feelin' like P. Diddy (Hey, what up, girl?) Grab my glasses, I'm out the door, I'm gonna hit this city (Let's go) Before I leave, brush my teeth with a bottle of Jack 'Cause when I leave for the night, I ain't coming back I'm talkin' pedicure on our toes, toes, tryin' on all our clothes, clothes Boys blowin' up our phones, phones Drop-toppin', playin' our favorite CDs, pullin' up to the parties Tryna get a little bit tipsyDon't stop, make it pop, DJ, blow my speakers up Tonight, I'ma fight 'til we see the sunlight Tick tock on the clock, but the party don't stop, no Oh, woah, woah, oh, oh, woah, woah, oh Don't stop, make it pop, DJ, blow my speakers up Tonight, I'ma fight 'til we see the sunlight Tick tock on the clock, but the party don't stop, no Oh, woah, woah, oh, oh, woah, woah, oh Ain't got a care in the world, but got plenty of beer Ain't got no money in my pocket, but I'm already here And now the dudes are linin' up, 'cause they hear we got swagger But we kick 'em to the curb unless they look like Mick Jagger I'm talkin' 'bout everybody gettin' crunk, crunk, boys try to touch my junk, junk Gonna smack him if he gettin' too drunk, drunk No-now we go until they kick us out, out or the police shut us down, down Police shut us down, down, po-po shut us down Don't stop, make it pop, DJ, blow my speakers up Tonight, I'ma fight 'til we see the sunlight Tick tock on the clock, but the party don't stop, no Oh, woah, woah, oh, oh, woah, woah, oh Don't stop, make it pop, DJ, blow my speakers up Tonight, I'ma fight 'til we see the sunlight Tick tock on the clock, but the party don't stop, no Oh, woah, woah, oh, oh, woah, woah, oh (DJ) You build me up, you break me down My heart, it pounds, yeah, you got me With my hands up, you got me now You got that sound, yeah, you got me (DJ) You build me up, you break me down My heart, it pounds, yeah, you got me With my hands up, put your hands up Put your hands up Now, the party don't start 'til I walk in Don't stop, make it pop, DJ, blow my speakers up Tonight, I'ma fight 'til we see the sunlight Tick tock on the clock, but the party don't stop, no Oh, woah, woah, oh, oh, woah, woah, oh Don't stop, make it pop, DJ, blow my speakers up Tonight, I'ma fight 'til we see the sunlight Tick tock on the clock, but the party don't stop, no Oh, woah, woah, oh, oh, woah, woah, oh


2000|Faith Hill|Breathe|Country|249|I can feel the magic floating in the air Being with you gets me that way I watch the sunlight dance across your face, and I've Never been this swept away All my thoughts just seem to settle on the breeze When I'm lying wrapped up in your arms The whole world just fades away The only thing I hear Is the beating of your heart 'Cause I can feel you breathe, it's washing over me And suddenly, I'm melting into you There's nothing left to prove Baby, all we need is just to be Caught up in the touch, slow and steady rush And baby, isn't that the way that love's supposed to be? I can feel you breathe Just breathe In a way, I know my heart is waking up As all the walls come tumbling down Closer than I've ever felt before And I know, and you know There's no need for words right now 'Cause I can feel you breathe, washing over me And suddenly, I'm melting into you There's nothing left to prove Baby, all we need is just to be Caught up in the touch, slow and steady rush And baby, isn't that the way that love's supposed to be? I can feel you breathe Just breathe Caught up in the touch, slow and steady rush And baby, isn't that the way that love's supposed to be? I can feel you breathe Just breathe I can feel the magic floating in the air Being with you gets me that way


2005|Mariah Carey|We belong together|R&B|201|Sweet love yeah I didn't mean it when I said I didn't love you so I should have held on tight, I never should have let you go I didn't know nothing I was stupid I was foolish, I was lying to myself I couldn't have fathomed I would ever be without your love Never imagined I'd be sitting here beside myself 'Cause I didn't know you, 'cause I didn't know me But I thought I knew everything I never felt The feeling that I'm feeling now that I don't hear your voice Or have your touch and kiss your lips 'Cause I don't have a choice Or what I wouldn't give to have you lying by my side Right here 'Cause baby When you left I lost a part of me It's still so hard to believe Come back baby please 'Cause we belong together Who else am I gon' lean on when times get rough? Who's going to talk to me on The phone 'til the sun comes up? Who's going to take your place? There ain't nobody better Oh, baby baby, we belong together I can't sleep at night, when you're on my mind Bobby Womack's on the radio Saying to me, "If you think you're lonely now" Wait a minute this is too deep (too deep) I gotta change the station So I turn the dial trying to catch a break And then I hear Babyface I only think of you And it's breaking my heart I'm trying to keep it together but I'm falling apart I'm feeling all out of my element Throwing things crying trying to figure out Where the hell I went wrong Pain reflected in this song Ain't even half of what I'm feeling inside I need you need you back in my life baby When you left I lost a part of me It's still so hard to believe Come back baby please 'Cause we belong together Who else am I gon' lean on when times get rough? Who's going to talk to me on the phone 'til the sun comes up? Who's going to take your place? There ain't nobody better Oh, baby baby, we belong together, baby When you left I lost a part of me It's still so hard to believe Come back baby please 'Cause we belong together Who am I gon' lean on when times get rough? Who's going to talk to me on the phone 'til the sun comes up? Who's going to take your place? There ain't nobody better Oh, baby baby, we belong together
2010|Ke$ha|TiK ToK|Pop|196|
2015|Mark Ronson|Uptown Funk!|Funk|270|Gotta kiss myself, I'm so pretty I'm too hot (hot damn) Call the police and the fireman I'm too hot (hot damn) Make a dragon wanna retire man I'm too hot (hot damn) Say my name, you know who I am I'm too hot (hot damn) And my band 'bout that money, break it down Girls, hit your hallelujah (woo) Girls, hit your hallelujah (woo) Girls, hit your hallelujah (woo) 'Cause uptown funk gon' give it to you 'Cause uptown funk gon' give it to you 'Cause uptown funk gon' give it to you Saturday night and we in the spot Don't believe me, just watch (come on) Don't believe me, just watch Don't believe me, just watch Don't believe me, just watch Don't believe me, just watch Don't believe me, just watch Hey, hey, hey, oh Stop, wait a minute Fill my cup, put some liquor in it Take a sip, sign a check Julio, get the stretch Ride to Harlem, Hollywood, Jackson, Mississippi If we show up, we gon' show out Smoother than a fresh jar of Skippy I'm too hot (hot damn) Call the police and the fireman I'm too hot (hot damn) Make a dragon wanna retire man I'm too hot (hot damn) Trick, say my name you know who I am I'm too hot (hot damn) And my band 'bout that money, break it down Girls, hit your hallelujah (woo) Girls, hit your hallelujah (woo) Girls, hit your hallelujah (woo) 'Cause uptown funk gon' give it to you 'Cause uptown funk gon' give it to you 'Cause uptown funk gon' give it to you Saturday night and we in the spot Don't believe me, just watch (come on) Don't believe me, just watch Don't believe me, just watch Don't believe me, just watch Don't believe me, just watch Don't believe me, just watch Hey, hey, hey, oh Before we leave Lemme tell y'all a lil' something Uptown funk you up Uptown funk you up Uptown funk you up Uptown funk you up Come on, dance Jump on it If you sexy then flaunt it If you freaky then own it Don't brag about it, come show me Come on, dance Jump on it If you sexy then flaunt it Well, it's Saturday night and we in the spot Don't believe me, just watch (come on) Don't believe me, just watch Don't believe me, just watch Don't believe me, just watch Don't believe me, just watch Don't believe me, just watch Hey, hey, hey, oh Uptown funk you up, uptown funk you up (say what?) Uptown funk you up, uptown funk you up Uptown funk you up, uptown funk you up (say what?) Uptown funk you up, uptown funk you up Uptown funk you up, uptown funk you up (say what?) Uptown funk you up, uptown funk you up Uptown funk you up, uptown funk you up (say what?) Uptown funk you up
2020|The Weeknd|Blinding lights|R&B|202|I've been tryna call I've been on my own for long enough Maybe you can show me how to love, maybe I'm going through withdrawals You don't even have to do too much You can turn me on with just a touch, baby I look around and Sin City's cold and empty (oh) No one's around to judge me (oh) I can't see clearly when you're gone I said, ooh, I'm blinded by the lights No, I can't sleep until I feel your touch I said, ooh, I'm drowning in the night Oh, when I'm like this, you're the one I trust (Hey, hey, hey) I'm running out of time 'Cause I can see the sun light up the sky So I hit the road in overdrive, baby, oh The city's cold and empty (oh) No one's around to judge me (oh)I can't see clearly when you're gone I said, ooh, I'm blinded by the lights No, I can't sleep until I feel your touch I said, ooh, I'm drowning in the night Oh, when I'm like this, you're the one I trust I'm just walking by to let you know (by to let you know) I can never say it on the phone (say it on the phone) Will never let you go this time (ooh) I said, ooh, I'm blinded by the lights No, I can't sleep until I feel your touch (Hey, hey, hey) I said, ooh, I'm blinded by the lights No, I can't sleep until I feel your touch
